Times;CH3 CH 3;CH4 CH 4;CH5 CH 5;CH6 CH 6;CH7 CH 7;CH8 CH 8
6.355 170 ms;0;0;1;0;0;0
6.355 880 ms;0;0;0;0;0;0
6.438 540 ms;0;0;0;0;1;0
6.439 270 ms;0;0;1;0;1;0
6.441 440 ms;0;0;1;0;0;0
6.442 160 ms;0;0;0;0;0;0
6.452 800 ms;0;0;0;0;1;0
6.453 530 ms;0;0;1;0;1;0
6.455 510 ms;0;0;1;0;1;1
6.455 720 ms;0;0;1;0;0;1
6.456 500 ms;1;0;1;0;0;1
6.460 490 ms;1;0;1;0;0;0
6.460 680 ms;1;0;1;0;1;0
6.461 470 ms;0;0;1;0;1;0
6.462 780 ms;0;0;1;0;0;0
6.463 490 ms;0;0;0;0;0;0
6.524 810 ms;0;0;0;0;1;0
6.525 540 ms;0;0;1;0;1;0
6.527 700 ms;0;0;1;0;0;0
6.528 420 ms;0;0;0;0;0;0
6.593 830 ms;0;0;0;0;1;0
6.594 560 ms;0;0;1;0;1;0
6.596 720 ms;0;0;1;0;0;0
6.597 430 ms;0;0;0;0;0;0
6.697 340 ms;0;0;0;0;1;0
6.698 070 ms;0;0;1;0;1;0
6.700 240 ms;0;0;1;0;0;0
6.700 950 ms;0;0;0;0;0;0
6.732 880 ms;0;0;0;0;1;0
6.733 610 ms;0;0;1;0;1;0
6.733 670 ms;1;0;1;0;1;0
6.737 840 ms;1;0;1;0;0;0
6.738 560 ms;1;0;0;0;0;0
6.738 610 ms;0;0;0;0;0;0
6.783 610 ms;0;0;0;0;1;0
6.784 340 ms;0;0;1;0;1;0
6.786 510 ms;0;0;1;0;0;0
6.787 220 ms;0;0;0;0;0;0
6.869 880 ms;0;0;0;0;1;0
6.870 610 ms;0;0;1;0;1;0
6.872 770 ms;0;0;1;0;0;0
6.873 480 ms;0;0;0;0;0;0
6.956 150 ms;0;0;0;0;1;0
6.956 870 ms;0;0;1;0;1;0
6.959 040 ms;0;0;1;0;0;0
6.959 750 ms;0;0;0;0;0;0
7.010 020 ms;0;0;0;0;1;0
7.010 750 ms;0;0;1;0;1;0
7.010 810 ms;1;0;1;0;1;0
7.014 990 ms;1;0;1;0;0;0
7.015 710 ms;1;0;0;0;0;0
7.015 770 ms;0;0;0;0;0;0
7.025 330 ms;0;0;0;0;1;0
7.026 060 ms;0;0;1;0;1;0
7.028 020 ms;0;0;1;0;0;0
7.028 740 ms;0;0;0;0;0;0
7.042 410 ms;0;0;0;0;1;0
7.043 140 ms;0;0;1;0;1;0
7.045 300 ms;0;0;1;0;0;0
7.046 020 ms;0;0;0;0;0;0
7.111 430 ms;0;0;0;0;1;0
7.112 150 ms;0;0;1;0;1;0
7.114 310 ms;0;0;1;0;0;0
7.115 030 ms;0;0;0;0;0;0
7.214 940 ms;0;0;0;0;1;0
7.215 670 ms;0;0;1;0;1;0
7.217 840 ms;0;0;1;0;0;0
7.218 550 ms;0;0;0;0;0;0
7.226 060 ms;0;0;0;0;1;0
7.226 790 ms;0;0;1;0;1;0
7.226 810 ms;0;1;1;0;1;0
7.229 020 ms;0;1;1;0;0;0
7.229 740 ms;0;1;0;0;0;0
7.229 770 ms;0;0;0;0;0;0
7.287 160 ms;0;0;0;0;1;0
7.287 890 ms;0;0;1;0;1;0
7.287 950 ms;1;0;1;0;1;0
7.292 120 ms;1;0;1;0;0;0
7.292 830 ms;1;0;0;0;0;0
7.292 890 ms;0;0;0;0;0;0
7.296 470 ms;0;0;0;0;1;0
7.297 190 ms;0;0;1;0;1;0
7.297 230 ms;0;1;1;0;1;0
7.298 810 ms;0;1;1;0;0;0
7.299 520 ms;0;1;0;0;0;0
7.299 550 ms;0;0;0;0;0;0
7.301 250 ms;0;0;0;0;1;0
7.301 980 ms;0;0;1;0;1;0
7.304 140 ms;0;0;1;0;0;0
7.304 860 ms;0;0;0;0;0;0
7.387 480 ms;0;0;0;0;1;0
7.388 200 ms;0;0;1;0;1;0
7.390 370 ms;0;0;1;0;0;0
7.391 090 ms;0;0;0;0;0;0
7.456 490 ms;0;0;0;0;1;0
7.457 220 ms;0;0;1;0;1;0
7.459 380 ms;0;0;1;0;0;0
7.460 090 ms;0;0;0;0;0;0
7.542 760 ms;0;0;0;0;1;0
7.543 490 ms;0;0;1;0;1;0
7.545 650 ms;0;0;1;0;0;0
7.546 360 ms;0;0;0;0;0;0
7.564 290 ms;0;0;0;0;1;0
7.565 020 ms;0;0;1;0;1;0
7.565 080 ms;1;0;1;0;1;0
7.569 270 ms;1;0;1;0;0;0
7.569 980 ms;1;0;0;0;0;0
7.570 040 ms;0;0;0;0;0;0
7.597 860 ms;0;0;0;0;1;0
7.598 590 ms;0;0;1;0;1;0
7.600 550 ms;0;0;1;0;0;0
7.601 260 ms;0;0;0;0;0;0
7.646 270 ms;0;0;0;0;1;0
7.647 000 ms;0;0;1;0;1;0
7.649 170 ms;0;0;1;0;0;0
7.649 880 ms;0;0;0;0;0;0
7.672 160 ms;0;0;0;0;1;0
7.672 880 ms;0;0;1;0;1;0
7.675 050 ms;0;0;1;0;0;0
7.675 760 ms;0;0;0;0;0;0
7.818 810 ms;0;0;0;0;1;0
7.819 540 ms;0;0;1;0;1;0
7.821 700 ms;0;0;1;0;0;0
7.822 420 ms;0;0;0;0;0;0
7.841 430 ms;0;0;0;0;1;0
7.842 160 ms;0;0;1;0;1;0
7.842 220 ms;1;0;1;0;1;0
7.846 390 ms;1;0;1;0;0;0
7.847 110 ms;1;0;0;0;0;0
7.847 170 ms;0;0;0;0;0;0
7.905 080 ms;0;0;0;0;1;0
7.905 810 ms;0;0;1;0;1;0
7.907 970 ms;0;0;1;0;0;0
7.908 680 ms;0;0;0;0;0;0
7.991 340 ms;0;0;0;0;1;0
7.992 070 ms;0;0;1;0;1;0
7.994 240 ms;0;0;1;0;0;0
7.994 950 ms;0;0;0;0;0;0
8.077 610 ms;0;0;0;0;1;0
8.078 330 ms;0;0;1;0;1;0
8.080 500 ms;0;0;1;0;0;0
8.081 210 ms;0;0;0;0;0;0
8.118 570 ms;0;0;0;0;1;0
8.119 300 ms;0;0;1;0;1;0
8.119 360 ms;1;0;1;0;1;0
8.123 550 ms;1;0;1;0;0;0
8.124 260 ms;1;0;0;0;0;0
8.124 320 ms;0;0;0;0;0;0
8.163 880 ms;0;0;0;0;1;0
8.164 600 ms;0;0;1;0;1;0
8.166 770 ms;0;0;1;0;0;0
8.167 480 ms;0;0;0;0;0;0
8.170 400 ms;0;0;0;0;1;0
8.171 130 ms;0;0;1;0;1;0
8.173 100 ms;0;0;1;0;0;0
8.173 810 ms;0;0;0;0;0;0
8.224 260 ms;0;0;0;0;1;0
8.224 990 ms;0;0;1;0;1;0
8.227 150 ms;0;0;1;0;0;0
8.227 860 ms;0;0;0;0;0;0
8.327 780 ms;0;0;0;0;1;0
8.328 510 ms;0;0;1;0;1;0
8.330 670 ms;0;0;1;0;0;0
8.331 390 ms;0;0;0;0;0;0
8.395 710 ms;0;0;0;0;1;0
8.396 430 ms;0;0;1;0;1;0
8.396 490 ms;1;0;1;0;1;0
8.400 670 ms;1;0;1;0;0;0
8.401 380 ms;1;0;0;0;0;0
8.401 440 ms;0;0;0;0;0;0
8.403 220 ms;0;0;0;0;1;0
8.403 950 ms;0;0;1;0;1;0
8.403 980 ms;0;1;1;0;1;0
8.406 190 ms;0;1;1;0;0;0
8.406 900 ms;0;1;0;0;0;0
8.406 930 ms;0;0;0;0;0;0
8.414 050 ms;0;0;0;0;1;0
8.414 780 ms;0;0;1;0;1;0
8.416 940 ms;0;0;1;0;0;0
8.417 650 ms;0;0;0;0;0;0
8.473 630 ms;0;0;0;0;1;0
