Times;CH3 CH 3;CH4 CH 4;CH5 CH 5
10.049 610 ms;0;0;0
10.063 980 ms;0;0;1
10.064 040 ms;1;0;1
10.068 190 ms;1;0;0
10.068 250 ms;0;0;0
10.194 140 ms;0;0;1
10.196 260 ms;0;0;0
10.289 030 ms;0;0;1
10.291 150 ms;0;0;0
10.341 120 ms;0;0;1
10.341 180 ms;1;0;1
10.345 310 ms;1;0;0
10.345 370 ms;0;0;0
10.375 300 ms;0;0;1
10.377 420 ms;0;0;0
10.461 560 ms;0;0;1
10.463 680 ms;0;0;0
10.539 200 ms;0;0;1
10.541 320 ms;0;0;0
10.618 250 ms;0;0;1
10.618 310 ms;1;0;1
10.622 460 ms;1;0;0
10.622 520 ms;0;0;0
10.634 090 ms;0;0;1
10.635 990 ms;0;0;0
10.895 390 ms;0;0;1
10.895 450 ms;1;0;1
10.899 590 ms;1;0;0
10.899 640 ms;0;0;0
11.172 530 ms;0;0;1
11.172 590 ms;1;0;1
11.176 730 ms;1;0;0
11.176 800 ms;0;0;0
11.449 670 ms;0;0;1
11.449 720 ms;1;0;1
11.453 860 ms;1;0;0
11.453 920 ms;0;0;0
11.500 350 ms;0;0;1
11.500 380 ms;0;1;1
11.502 550 ms;0;1;0
11.502 580 ms;0;0;0
11.570 770 ms;0;0;1
11.570 800 ms;0;1;1
11.572 330 ms;0;1;0
11.572 360 ms;0;0;0
11.726 800 ms;0;0;1
11.726 860 ms;1;0;1
11.731 010 ms;1;0;0
11.731 070 ms;0;0;0
12.003 940 ms;0;0;1
12.004 000 ms;1;0;1
12.010 490 ms;1;0;0
12.010 550 ms;0;0;0
12.281 080 ms;0;0;1
12.281 130 ms;1;0;1
12.287 640 ms;1;0;0
12.287 700 ms;0;0;0
12.312 680 ms;0;0;1
12.312 710 ms;0;1;1
12.315 520 ms;0;1;0
12.315 550 ms;0;0;0
12.373 760 ms;0;0;1
12.373 790 ms;0;1;1
12.379 060 ms;0;1;0
12.379 100 ms;0;0;0
12.380 570 ms;0;0;1
12.380 600 ms;0;1;1
12.393 780 ms;0;1;0
12.393 810 ms;0;0;0
12.395 310 ms;0;1;0
12.395 330 ms;1;1;0
12.558 190 ms;1;1;1
12.558 220 ms;1;0;1
12.562 710 ms;1;0;0
12.562 770 ms;0;0;0
12.688 890 ms;0;0;1
12.691 010 ms;0;0;0
12.710 820 ms;0;0;1
12.712 950 ms;0;0;0
12.780 810 ms;0;0;1
12.782 930 ms;0;0;0
12.835 350 ms;0;0;1
12.835 410 ms;1;0;1
12.839 560 ms;1;0;0
12.839 620 ms;0;0;0
12.943 770 ms;0;0;1
12.945 890 ms;0;0;0
13.030 040 ms;0;0;1
13.032 160 ms;0;0;0
13.076 180 ms;0;0;1
13.076 210 ms;0;1;1
13.078 380 ms;0;1;0
13.078 410 ms;0;0;0
13.112 490 ms;0;0;1
13.112 550 ms;1;0;1
13.116 680 ms;1;0;0
13.116 740 ms;0;0;0
13.118 230 ms;0;0;1
13.120 350 ms;0;0;0
13.146 610 ms;0;0;1
13.146 640 ms;0;1;1
13.148 170 ms;0;1;0
13.148 210 ms;0;0;0
13.202 570 ms;0;0;1
13.204 690 ms;0;0;0
13.288 840 ms;0;0;1
13.290 960 ms;0;0;0
13.340 600 ms;0;0;1
13.342 720 ms;0;0;0
13.389 630 ms;0;0;1
13.389 690 ms;1;0;1
13.393 840 ms;1;0;0
13.393 890 ms;0;0;0
13.461 370 ms;0;0;1
13.463 490 ms;0;0;0
