time,duration,IPL
0.247154988,0.000084140,0
0.247239128,0.000002130,4
0.247241258,0.000049630,0
0.247290888,0.000002490,4
0.247293378,0.000001170,5
0.247294588,0.000002760,6
0.247297388,0.000045260,0
0.247342648,0.000002120,4
0.247344768,0.000010640,0
0.247355438,0.000005270,6
0.247360748,0.000001470,0
0.247362248,0.000013170,6
0.247375458,0.000001500,0
0.247376978,0.000085470,3
0.247462508,0.000002170,4
0.247464678,0.000033220,0
0.247497898,0.000002120,4
0.247500018,0.000015140,0
0.247515158,0.000002120,4
0.247517278,0.000053180,0
0.247570508,0.000004470,5
0.247575038,0.000086770,0
0.247661808,0.000002120,4
0.247663928,0.000092720,0
0.247756648,0.000002110,4
0.247758758,0.000084240,0
0.247842998,0.000002120,4
0.247845118,0.000002500,0
0.247847678,0.000004150,5
0.247851888,0.000077380,0
0.247929268,0.000002110,4
0.247931378,0.000075520,0
0.248006898,0.000002120,4
0.248009018,0.000026000,0
0.248035018,0.000002230,4
0.248037248,0.000064550,0
0.248101798,0.000002110,4
0.248103908,0.000020850,0
0.248124818,0.000004140,5
0.248129008,0.000001490,0
0.248130498,0.000002120,4
0.248132618,0.000141710,0
0.248274328,0.000002120,4
0.248276448,0.000075520,0
0.248351968,0.000002120,4
0.248354088,0.000047810,0
0.248401958,0.000004140,5
0.248406158,0.000040700,0
0.248446858,0.000002120,4
0.248448978,0.000084150,0
0.248533128,0.000002120,4
0.248535248,0.000072300,0
0.248607548,0.000002220,4
0.248609768,0.000001520,0
0.248611288,0.000002120,4
0.248613408,0.000065630,0
0.248679098,0.000004130,5
0.248683288,0.000022370,0
0.248705658,0.000002120,4
0.248707778,0.000075520,0
0.248783298,0.000002120,4
0.248785418,0.000075520,0
0.248860938,0.000002120,4
0.248863058,0.000093110,0
0.248956228,0.000004150,5
0.248960438,0.000004020,0
0.248964458,0.000002120,4
0.248966578,0.000084140,0
0.249050718,0.000002130,4
0.249052848,0.000084140,0
0.249136988,0.000002120,4
0.249139108,0.000040970,0
0.249180078,0.000002220,4
0.249182298,0.000040960,0
0.249223258,0.000002120,4
0.249225378,0.000007930,0
0.249233368,0.000004130,5
0.249237558,0.000071960,0
0.249309518,0.000002120,4
0.249311638,0.000084150,0
0.249395788,0.000002120,4
0.249397908,0.000084140,0
0.249482048,0.000002130,4
0.249484178,0.000026270,0
0.249510498,0.000004160,5
0.249514718,0.000053600,0
0.249568318,0.000002120,4
0.249570438,0.000084140,0
0.249654578,0.000002130,4
0.249656708,0.000084140,0
0.249740848,0.000002120,4
0.249742968,0.000009630,0
0.249752598,0.000002230,4
0.249754828,0.000032750,0
0.249787638,0.000004130,5
0.249791828,0.000035290,0
0.249827118,0.000002120,4
0.249829238,0.000075520,0
0.249904758,0.000002120,4
0.249906878,0.000092770,0
0.249999648,0.000002120,4
0.250001768,0.000049640,0
0.250051408,0.000002120,4
0.250053528,0.000011190,0
0.250064778,0.000004150,5
0.250068978,0.000103200,0
0.250172178,0.000002130,4
0.250174308,0.000084140,0
0.250258448,0.000002120,4
0.250260568,0.000064560,0
0.250325128,0.000002220,4
0.250327348,0.000001530,0
0.250328878,0.000002110,4
0.250330988,0.000010870,0
0.250341918,0.000004130,5
0.250346108,0.000076250,0
0.250422358,0.000002110,4
0.250424468,0.000084150,0
0.250508618,0.000002120,4
0.250510738,0.000092770,0
0.250603508,0.000002130,4
0.250605638,0.000013350,0
0.250619048,0.000004150,5
0.250623258,0.000066520,0
0.250689778,0.000002120,4
0.250691898,0.000084140,0
0.250776038,0.000002130,4
0.250778168,0.000084140,0
0.250862308,0.000002120,4
0.250864428,0.000031700,0
0.250896188,0.000004130,5
0.250900378,0.000001490,0
0.250901868,0.000002230,4
0.250904098,0.000027230,0
0.250931328,0.000002110,4
0.250933438,0.000101400,0
0.251034838,0.000002130,4
0.251036968,0.000084140,0
0.251121108,0.000002120,4
0.251123228,0.000050040,0
0.251173328,0.000004150,5
0.251177538,0.000029830,0
0.251207368,0.000002130,4
0.251209498,0.000084140,0
0.251293638,0.000002120,4
0.251295758,0.000084150,0
0.251379908,0.000002120,4
0.251382028,0.000068370,0
0.251450458,0.000004140,5
0.251454648,0.000002900,0
0.251457548,0.000002120,4
0.251459668,0.000010530,0
0.251470198,0.000002220,4
0.251472418,0.000045520,0
0.251517938,0.000002110,4
0.251520048,0.000110030,0
0.251630078,0.000002120,4
0.251632198,0.000092770,0
0.251724968,0.000002610,4
0.251727578,0.000004140,5
0.251731778,0.000062210,0
0.251793988,0.000002120,4
0.251796108,0.000101390,0
0.251897498,0.000002130,4
0.251899628,0.000075510,0
0.251975138,0.000002130,4
0.251977268,0.000027410,0
0.252004738,0.000007560,5
0.252012328,0.000001500,6
0.252013858,0.000028870,0
0.252042728,0.000002220,4
0.252044948,0.000025090,0
0.252070038,0.000002120,4
0.252072158,0.000084150,0
0.252156308,0.000002110,4
0.252158418,0.000032390,0
0.252190808,0.000002120,4
0.252192928,0.000088890,0
0.252281868,0.000006510,5
0.252288438,0.000005700,0
0.252294168,0.000002810,6
0.252297008,0.000001490,0
0.252298498,0.000002120,4
0.252300618,0.000054340,0
0.252354988,0.000005270,6
0.252360298,0.000001470,0
0.252361798,0.000013170,6
0.252375008,0.000001500,0
0.252376528,0.000038540,3
0.252415128,0.000002070,4
0.252417198,0.000075510,0
0.252492708,0.000002130,4
0.252494838,0.000064080,0
0.252558988,0.000004460,5
0.252563508,0.000024090,0
0.252587598,0.000002130,4
0.252589728,0.000025500,0
0.252615228,0.000002220,4
0.252617448,0.000066750,0
0.252684198,0.000002120,4
0.252686318,0.000086120,0
0.252772438,0.000002110,4
0.252774548,0.000061540,0
0.252836148,0.000004150,5
0.252840358,0.000005800,0
0.252846158,0.000002120,4
0.252848278,0.000092770,0
0.252941048,0.000002130,4
0.252943178,0.000084140,0
0.253027318,0.000002120,4
0.253029438,0.000083790,0
0.253113288,0.000004130,5
0.253117478,0.000001490,0
0.253118968,0.000002120,4
0.253121088,0.000066700,0
0.253187788,0.000002220,4
0.253190008,0.000011320,0
0.253201328,0.000002110,4
0.253203438,0.000084150,0
0.253287588,0.000002120,4
0.253289708,0.000084150,0
0.253373858,0.000002120,4
0.253375978,0.000014390,0
0.253390428,0.000004140,5
0.253394628,0.000065490,0
0.253460118,0.000002130,4
0.253462248,0.000015120,0
0.253477368,0.000002130,4
0.253479498,0.000014730,0
0.253494258,0.000002160,6
0.253496458,0.000068160,0
0.253564648,0.000001530,6
0.253566208,0.000000490,0
0.253566698,0.000002120,4
0.253568818,0.000098680,0
0.253667558,0.000004140,5
0.253671758,0.000047160,0
0.253718918,0.000002120,4
0.253721038,0.000039270,0
