time,duration,nestlevel
1.852236329,0.000003110,1
1.852239439,0.000083170,0
1.852322609,0.000003100,1
1.852325709,0.000083160,0
1.852408869,0.000003110,1
1.852411979,0.000011070,0
1.852423049,0.000003180,1
1.852426229,0.000061510,0
1.852487739,0.000008230,1
1.852495969,0.000004440,0
1.852500409,0.000003110,1
1.852503519,0.000011170,0
1.852514689,0.000003110,1
1.852517799,0.000152180,0
1.852669979,0.000003100,1
1.852673079,0.000003460,0
1.852676539,0.000003210,1
1.852679749,0.000076490,0
1.852756239,0.000003110,1
1.852759349,0.000005530,0
1.852764879,0.000005190,1
1.852770069,0.000072440,0
1.852842509,0.000003110,1
1.852845619,0.000083160,0
1.852928779,0.000003110,1
1.852931889,0.000083160,0
1.853015049,0.000003100,1
1.853018149,0.000023880,0
1.853042029,0.000005180,1
1.853047209,0.000054110,0
1.853101319,0.000002870,1
1.853104189,0.000144880,0
1.853249069,0.000003210,1
1.853252279,0.000066890,0
1.853319169,0.000005190,1
1.853324359,0.000271960,0
1.853596319,0.000005170,1
1.853601489,0.000220110,0
1.853821599,0.000003210,1
1.853824809,0.000048650,0
1.853873459,0.000005190,1
1.853878649,0.000119740,0
1.853998389,0.000003180,1
1.854001569,0.000067220,0
1.854068789,0.000002550,1
1.854071339,0.000079260,0
1.854150599,0.000005180,1
1.854155779,0.000238360,0
1.854394139,0.000003210,1
1.854397349,0.000030390,0
1.854427739,0.000007550,1
1.854435289,0.000267030,0
1.854702319,0.000003810,1
1.854706129,0.000002460,0
1.854708589,0.000007530,1
1.854716119,0.000047970,0
1.854764089,0.000006290,1
1.854770379,0.000002440,0
1.854772819,0.000015410,1
1.854788229,0.000002440,0
1.854790669,0.000175760,1
1.854966429,0.000003210,2
1.854969639,0.000012160,1
1.854981799,0.000005520,2
1.854987319,0.000105130,1
1.855092449,0.000003110,2
1.855095559,0.000019770,1
1.855115329,0.000003100,2
1.855118429,0.000069810,1
1.855188239,0.000003180,2
1.855191419,0.000002450,1
1.855193869,0.000003100,2
1.855196969,0.000008140,1
1.855205109,0.000040700,0
1.855245809,0.000002550,1
1.855248359,0.000010820,0
1.855259179,0.000005170,1
1.855264349,0.000084130,0
1.855348479,0.000003110,1
1.855351589,0.000083170,0
1.855434759,0.000003100,1
1.855437859,0.000083160,0
1.855521019,0.000003110,1
1.855524129,0.000012190,0
1.855536319,0.000005190,1
1.855541509,0.000002480,0
1.855543989,0.000003200,1
1.855547189,0.000060100,0
1.855607289,0.000003100,1
1.855610389,0.000074540,0
1.855684929,0.000003110,1
1.855688039,0.000091790,0
1.855779829,0.000003100,1
1.855782929,0.000030530,0
1.855813459,0.000005180,1
1.855818639,0.000047460,0
1.855866099,0.000003100,1
1.855869199,0.000083160,0
1.855952359,0.000003110,1
1.855955469,0.000083160,0
1.856038629,0.000003110,1
1.856041739,0.000048870,0
1.856090609,0.000005190,1
1.856095799,0.000015910,0
1.856111709,0.000003210,1
1.856114919,0.000009980,0
1.856124899,0.000003110,1
1.856128009,0.000065900,0
1.856193909,0.000003110,1
1.856197019,0.000100410,0
1.856297429,0.000003110,1
1.856300539,0.000014150,0
1.856314689,0.000003110,1
1.856317799,0.000049950,0
1.856367749,0.000005170,1
1.856372919,0.000097050,0
1.856469969,0.000003110,1
1.856473079,0.000065900,0
1.856538979,0.000003110,1
1.856542089,0.000100420,0
1.856642509,0.000002150,1
1.856644659,0.000005190,2
1.856649849,0.000003480,1
1.856653329,0.000030920,0
1.856684249,0.000003210,1
1.856687459,0.000046060,0
1.856733519,0.000003100,1
1.856736619,0.000045200,0
1.856781819,0.000003180,1
1.856784999,0.000034780,0
1.856819779,0.000003110,1
1.856822889,0.000055930,0
1.856878819,0.000002530,1
1.856881349,0.000002450,0
1.856883799,0.000003110,1
1.856886909,0.000035120,0
1.856922029,0.000005180,1
1.856927209,0.000065110,0
1.856992319,0.000003110,1
1.856995429,0.000065900,0
1.857061329,0.000003110,1
1.857064439,0.000100420,0
1.857164859,0.000003100,1
1.857167959,0.000031220,0
1.857199179,0.000005190,1
1.857204369,0.000046750,0
1.857251119,0.000003110,1
1.857254229,0.000002520,0
1.857256749,0.000003210,1
1.857259959,0.000077430,0
1.857337389,0.000003110,1
1.857340499,0.000065910,0
1.857406409,0.000003100,1
1.857409509,0.000031400,0
1.857440909,0.000003110,1
1.857444019,0.000032300,0
1.857476319,0.000005180,1
1.857481499,0.000114700,0
1.857596199,0.000003100,1
1.857599299,0.000083160,0
1.857682459,0.000003110,1
1.857685569,0.000022780,0
1.857708349,0.000003100,1
1.857711449,0.000042020,0
1.857753469,0.000005190,1
1.857758659,0.000070650,0
1.857829309,0.000003200,1
1.857832509,0.000022490,0
1.857854999,0.000003110,1
1.857858109,0.000083160,0
1.857941269,0.000003100,1
1.857944369,0.000040650,0
1.857985019,0.000003330,1
1.857988349,0.000039190,0
1.858027539,0.000002840,1
1.858030379,0.000005170,2
1.858035549,0.000002790,1
1.858038339,0.000017070,0
1.858055409,0.000002540,1
1.858057949,0.000060580,0
1.858118529,0.000003110,1
1.858121639,0.000083160,0
1.858204799,0.000003110,1
1.858207909,0.000074530,0
1.858282439,0.000003110,1
1.858285549,0.000022200,0
1.858307749,0.000005190,1
1.858312939,0.000064400,0
1.858377339,0.000003110,1
1.858380449,0.000021400,0
1.858401849,0.000003200,1
1.858405049,0.000058550,0
1.858463599,0.000003110,1
1.858466709,0.000083160,0
1.858549869,0.000003110,1
1.858552979,0.000031910,0
1.858584889,0.000005180,1
1.858590069,0.000046070,0
1.858636139,0.000003110,1
1.858639249,0.000074530,0
1.858713779,0.000003110,1
1.858716889,0.000083160,0
1.858800049,0.000003110,1
1.858803159,0.000058880,0
1.858862039,0.000005190,1
1.858867229,0.000027720,0
1.858894949,0.000003100,1
1.858898049,0.000076320,0
1.858974369,0.000003210,1
1.858977579,0.000003630,0
1.858981209,0.000003110,1
1.858984319,0.000074540,0
1.859058859,0.000003100,1
1.859061959,0.000077220,0
1.859139179,0.000005180,1
1.859144359,0.000009390,0
1.859153749,0.000003110,1
1.859156859,0.000074530,0
1.859231389,0.000003110,1
1.859234499,0.000091790,0
1.859326289,0.000003100,1
1.859329389,0.000074540,0
1.859403929,0.000003100,1
1.859407029,0.000009290,0
1.859416319,0.000007550,1
1.859423869,0.000066320,0
1.859490189,0.000003110,1
1.859493299,0.000051710,0
1.859545009,0.000003180,1
1.859548189,0.000002450,0
1.859550639,0.000003210,1
1.859553849,0.000022610,0
1.859576459,0.000003110,1
1.859579569,0.000091790,0
1.859671359,0.000003100,1
1.859674459,0.000019010,0
1.859693469,0.000011930,1
1.859705399,0.000052230,0
1.859757629,0.000003100,1
1.859760729,0.000002540,0
1.859763269,0.000006290,1
1.859769559,0.000002440,0
1.859771999,0.000016120,1
1.859788119,0.000002440,0
1.859790559,0.000053100,1
1.859843659,0.000003110,2
1.859846769,0.000038460,1
1.859885229,0.000002960,2
1.859888189,0.000041740,1
1.859929929,0.000003110,2
1.859933039,0.000037340,1
1.859970379,0.000005520,2
1.859975899,0.000040300,1
1.860016199,0.000003110,2
1.860019309,0.000048650,1
1.860067959,0.000003100,2
1.860071059,0.000048130,1
1.860119189,0.000003210,2
1.860122399,0.000024290,1
1.860146689,0.000003100,2
1.860149789,0.000018370,1
1.860168159,0.000079600,0
1.860247759,0.000005170,1
1.860252929,0.000005050,0
1.860257979,0.000003110,1
1.860261089,0.000100410,0
1.860361499,0.000003110,1
1.860364609,0.000083160,0
1.860447769,0.000003110,1
1.860450879,0.000057280,0
1.860508159,0.000003110,1
1.860511269,0.000013630,0
1.860524899,0.000005190,1
1.860530089,0.000072960,0
1.860603049,0.000003110,1
1.860606159,0.000065910,0
1.860672069,0.000003100,1
1.860675169,0.000016800,0
1.860691969,0.000003200,1
1.860695169,0.000080420,0
1.860775589,0.000003110,1
1.860778699,0.000023340,0
1.860802039,0.000005180,1
1.860807219,0.000011510,0
1.860818729,0.000003100,1
1.860821829,0.000143550,0
1.860965379,0.000003110,1
1.860968489,0.000025890,0
1.860994379,0.000002990,1
1.860997369,0.000054280,0
1.861051649,0.000003100,1
1.861054749,0.000024430,0
1.861079179,0.000005200,1
1.861084379,0.000053540,0
1.861137919,0.000003100,1
1.861141019,0.000083160,0
1.861224179,0.000003110,1
1.861227289,0.000037200,0
1.861264489,0.000003210,1
1.861267699,0.000042750,0
1.861310449,0.000003110,1
1.861313559,0.000042770,0
1.861356329,0.000005180,1
1.861361509,0.000017960,0
1.861379469,0.000003110,1
1.861382579,0.000100410,0
1.861482989,0.000003100,1
